total_score,cart_bonded,dslf_fa13,fa_atr,fa_dun_dev,fa_dun_rot,fa_dun_semi,fa_elec,fa_intra_atr_xover4,fa_intra_elec,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,hxl_tors,lk_ball,lk_ball_bridge,lk_ball_bridge_uncpl,lk_ball_iso,omega,p_aa_pp,rama_prepro,ref,description,repack_distance,min_distance,source_file,runtime
-803.144,140.333,0.0,-1340.94,18.917,105.825,214.939,-520.298,-77.154,-59.161,22.718,51.664,136.595,856.558,-44.781,-159.435,-38.743,-33.592,40.685,480.643,-2.039,-12.546,-486.576,4.244,-52.987,25.102,-73.112,flags_r0_m10000_prepare_gfp_raw_0001_0001,0,10000,relax_r0_m10000.sc,1602.0
-757.598,126.395,0.0,-1329.624,16.235,107.183,210.929,-514.075,-77.192,-57.782,25.046,51.536,174.254,853.595,-43.295,-157.071,-38.396,-33.315,40.87,479.457,-1.818,-10.753,-483.549,4.158,-52.597,25.322,-73.112,flags_r10000_m10_prepare_gfp_raw_0001_0001,10000,10,relax_r10000_m10.sc,56.0
-774.62,128.051,0.0,-1330.412,16.766,107.075,211.323,-513.405,-76.949,-57.917,23.982,51.545,157.682,850.815,-43.256,-157.129,-39.475,-32.893,40.813,480.477,-1.907,-11.375,-483.197,6.104,-52.758,24.533,-73.112,flags_r10000_m15_prepare_gfp_raw_0001_0001,10000,15,relax_r10000_m15.sc,145.0
-773.092,135.41,0.0,-1341.431,17.396,107.231,215.811,-515.664,-77.217,-60.11,24.521,52.275,159.998,859.473,-44.709,-158.565,-36.055,-33.809,40.701,481.427,-2.007,-12.521,-487.394,5.129,-54.065,24.195,-73.112,flags_r10000_m20_prepare_gfp_raw_0001_0001,10000,20,relax_r10000_m20.sc,302.0
-799.55,138.245,0.0,-1342.794,18.121,105.01,214.103,-515.579,-77.31,-60.823,22.875,52.523,141.638,859.417,-44.428,-158.645,-38.242,-33.769,40.623,481.695,-2.018,-12.554,-487.576,5.372,-55.112,22.79,-73.112,flags_r10000_m25_prepare_gfp_raw_0001_0001,10000,25,relax_r10000_m25.sc,426.0
-805.436,142.863,0.0,-1353.21,20.226,108.16,217.486,-524.528,-78.028,-59.663,23.548,52.721,141.204,859.421,-48.258,-156.828,-41.814,-34.327,41.052,484.342,-2.143,-12.999,-489.289,6.849,-54.439,25.33,-73.112,flags_r10000_m30_prepare_gfp_raw_0001_0001,10000,30,relax_r10000_m30.sc,599.0
-806.013,141.469,0.0,-1350.628,19.342,105.024,216.604,-523.309,-78.004,-59.699,23.025,53.091,138.839,862.845,-45.363,-158.668,-39.854,-35.243,41.138,487.252,-2.067,-13.207,-489.92,3.445,-54.865,25.853,-73.112,flags_r10000_m35_prepare_gfp_raw_0001_0001,10000,35,relax_r10000_m35.sc,1111.0
-808.116,141.493,0.0,-1348.335,20.024,103.753,214.229,-520.054,-77.576,-61.283,22.808,51.895,136.203,861.86,-45.91,-157.952,-36.733,-34.103,40.79,482.363,-2.097,-12.653,-488.08,4.524,-54.75,24.58,-73.112,flags_r10000_m40_prepare_gfp_raw_0001_0001,10000,40,relax_r10000_m40.sc,785.0
-738.31,124.347,0.0,-1330.142,15.345,110.43,210.967,-513.61,-77.277,-57.652,26.037,51.583,193.572,853.154,-43.305,-157.311,-38.394,-33.237,40.863,479.697,-1.815,-10.795,-483.643,3.927,-52.672,24.733,-73.112,flags_r10000_m5_prepare_gfp_raw_0001_0001,10000,5,relax_r10000_m5.sc,38.0
-802.691,141.121,0.0,-1340.57,19.093,105.881,214.816,-521.127,-77.207,-58.998,22.785,51.722,136.841,856.292,-44.54,-159.469,-39.564,-33.717,40.66,481.41,-2.099,-12.809,-486.547,4.202,-52.928,25.173,-73.112,flags_r12_m10000_prepare_gfp_raw_0001_0001,12,10000,relax_r12_m10000.sc,816.0
-802.72,139.879,0.0,-1341.885,18.934,105.185,215.227,-521.068,-77.093,-59.098,22.837,51.754,136.818,857.965,-44.563,-159.59,-38.987,-33.8,40.646,481.184,-1.997,-12.15,-486.752,3.841,-52.778,25.881,-73.112,flags_r15_m10000_prepare_gfp_raw_0001_0001,15,10000,relax_r15_m10000.sc,2124.0
-803.144,140.333,0.0,-1340.94,18.917,105.825,214.939,-520.298,-77.154,-59.161,22.718,51.664,136.595,856.558,-44.781,-159.435,-38.743,-33.592,40.685,480.643,-2.039,-12.546,-486.576,4.244,-52.987,25.102,-73.112,flags_r3_m10000_prepare_gfp_raw_0001_0001,3,10000,relax_r3_m10000.sc,802.0
-802.522,140.401,0.0,-1342.002,19.029,105.705,215.578,-520.46,-77.3,-58.842,22.787,51.868,136.364,856.832,-44.816,-159.778,-39.397,-33.628,40.571,482.075,-2.006,-12.172,-486.829,3.965,-52.8,25.444,-73.112,flags_r6_m10000_prepare_gfp_raw_0001_0001,6,10000,relax_r6_m10000.sc,1922.0
-802.883,139.783,0.0,-1342.06,19.324,105.64,215.306,-520.193,-77.149,-59.069,22.76,51.652,137.182,856.527,-45.13,-159.624,-38.855,-32.765,40.68,481.212,-2.029,-12.39,-486.9,4.225,-52.921,25.024,-73.112,flags_r9_m10000_prepare_gfp_raw_0001_0001,9,10000,relax_r9_m10000.sc,803.0
