total_score,cart_bonded,dslf_fa13,fa_atr,fa_dun_dev,fa_dun_rot,fa_dun_semi,fa_elec,fa_intra_atr_xover4,fa_intra_elec,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,hxl_tors,lk_ball,lk_ball_bridge,lk_ball_bridge_uncpl,lk_ball_iso,omega,p_aa_pp,rama_prepro,ref,description,repack_distance,min_distance,source_file
-232.233,36.345,0.0,-396.831,3.997,29.566,69.435,-133.542,-23.313,-21.779,8.261,15.555,40.075,248.21,-12.219,-28.665,-4.468,-29.366,11.597,141.846,-0.657,-4.124,-154.396,-1.35,-20.953,-2.159,-3.299,flags_r0_m10000_structure_0001,0,10000,relax_r0_m10000.sc
-184.844,32.394,0.0,-396.586,2.431,30.124,69.5,-127.591,-23.849,-22.282,12.638,16.019,65.362,249.229,-11.893,-28.574,-4.282,-28.826,8.968,145.279,-0.522,-3.664,-155.141,7.371,-20.001,2.352,-3.299,flags_r10000_m10_structure_0001,10000,10,relax_r10000_m10.sc
-202.694,33.89,0.0,-397.047,2.722,29.695,69.615,-127.349,-23.582,-21.68,11.563,15.807,57.937,249.201,-11.896,-28.372,-4.282,-28.839,8.968,145.496,-0.66,-4.401,-155.339,-0.956,-20.576,0.692,-3.299,flags_r10000_m15_structure_0001,10000,15,relax_r10000_m15.sc
-225.672,35.659,0.0,-397.9,4.434,29.123,69.987,-132.597,-23.384,-22.559,10.04,15.604,44.54,249.456,-13.274,-28.956,-4.26,-28.988,8.786,146.106,-0.641,-4.255,-155.19,-1.568,-21.178,-1.359,-3.299,flags_r10000_m20_structure_0001,10000,20,relax_r10000_m20.sc
-233.929,37.146,0.0,-399.041,3.914,28.352,69.864,-133.038,-23.22,-22.54,8.589,15.582,43.524,249.883,-13.266,-29.24,-4.304,-29.531,8.771,144.212,-0.657,-4.572,-155.636,-1.41,-21.133,-2.879,-3.299,flags_r10000_m25_structure_0001,10000,25,relax_r10000_m25.sc
-238.884,37.7,0.0,-404.226,4.577,28.667,69.1,-137.164,-23.142,-22.62,8.549,16.139,43.218,253.517,-12.723,-29.187,-2.792,-28.454,7.682,147.767,-0.738,-5.092,-157.637,-1.371,-22.241,-5.112,-3.299,flags_r10000_m30_structure_0001,10000,30,relax_r10000_m30.sc
-242.614,36.828,0.0,-403.727,5.159,28.247,68.126,-134.885,-22.681,-22.013,8.174,14.859,43.006,251.992,-14.463,-29.344,-2.806,-27.915,7.638,145.789,-0.674,-4.723,-156.736,-1.736,-22.142,-5.286,-3.299,flags_r10000_m35_structure_0001,10000,35,relax_r10000_m35.sc
-239.534,36.409,0.0,-396.469,4.692,27.52,69.976,-134.964,-23.059,-22.86,8.355,15.438,41.101,247.21,-13.45,-29.143,-4.384,-29.039,8.675,143.628,-0.679,-4.521,-154.238,-1.881,-20.975,-3.577,-3.299,flags_r10000_m40_structure_0001,10000,40,relax_r10000_m40.sc
-171.745,30.465,0.0,-396.764,2.54,30.04,69.592,-125.815,-23.701,-22.326,13.048,15.904,84.187,249.788,-12.126,-28.498,-4.282,-28.526,8.968,146.156,-0.541,-3.812,-155.256,-1.212,-19.99,3.717,-3.299,flags_r10000_m5_structure_0001,10000,5,relax_r10000_m5.sc
-232.044,36.478,0.0,-397.6,3.92,29.641,69.381,-133.818,-23.316,-21.762,8.365,15.559,40.656,248.543,-12.214,-28.643,-4.464,-29.516,11.586,142.403,-0.645,-3.968,-154.626,-1.358,-20.992,-2.354,-3.299,flags_r12_m10000_structure_0001,12,10000,relax_r12_m10000.sc
-233.299,36.112,0.0,-397.177,4.112,29.204,69.474,-131.918,-23.248,-21.725,8.239,15.56,40.04,247.5,-12.209,-28.625,-4.456,-29.261,10.526,142.2,-0.656,-4.119,-154.511,-1.418,-20.971,-2.674,-3.299,flags_r15_m10000_structure_0001,15,10000,relax_r15_m10000.sc
-232.233,36.345,0.0,-396.831,3.997,29.566,69.435,-133.542,-23.313,-21.779,8.261,15.555,40.075,248.21,-12.219,-28.665,-4.468,-29.366,11.597,141.846,-0.657,-4.124,-154.396,-1.35,-20.953,-2.159,-3.299,flags_r3_m10000_structure_0001,3,10000,relax_r3_m10000.sc
-232.255,36.409,0.0,-396.705,3.994,29.54,69.435,-133.538,-23.321,-21.779,8.256,15.567,39.91,248.196,-12.232,-28.662,-4.472,-29.364,11.596,141.841,-0.659,-4.145,-154.372,-1.357,-20.972,-2.119,-3.299,flags_r6_m10000_structure_0001,6,10000,relax_r6_m10000.sc
-234.36,36.701,0.0,-398.058,4.003,29.586,69.33,-134.496,-23.339,-21.807,8.345,15.553,41.132,249.484,-12.761,-28.943,-4.467,-29.672,10.609,143.033,-0.724,-4.574,-155.231,-1.241,-21.108,-2.419,-3.299,flags_r9_m10000_structure_0001,9,10000,relax_r9_m10000.sc
