total_score,cart_bonded,dslf_fa13,fa_atr,fa_dun_dev,fa_dun_rot,fa_dun_semi,fa_elec,fa_intra_atr_xover4,fa_intra_elec,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,hxl_tors,lk_ball,lk_ball_bridge,lk_ball_bridge_uncpl,lk_ball_iso,omega,p_aa_pp,rama_prepro,ref,description,repack_distance,min_distance,source_file,runtime
-244.232,37.845,0.0,-410.172,6.219,28.175,68.538,-136.951,-22.809,-21.8,8.207,14.819,43.725,257.285,-16.503,-29.456,-2.832,-28.336,7.678,148.981,-0.667,-4.608,-159.874,-1.594,-22.288,-4.514,-3.299,flags_r0_m10000_prepare_pab1_raw_0001_0001,0,10000,relax_r0_m10000.sc,76.0
-205.09,34.12,0.0,-396.43,3.663,27.615,68.544,-135.121,-23.938,-22.327,11.207,15.631,65.008,252.621,-15.464,-29.197,-2.854,-29.124,7.439,145.717,-0.548,-3.911,-156.284,6.813,-21.605,-3.363,-3.299,flags_r10000_m10_prepare_pab1_raw_0001_0001,10000,10,relax_r10000_m10.sc,19.0
-219.939,35.36,0.0,-399.096,4.028,27.128,67.87,-133.339,-23.728,-21.861,10.224,15.51,60.105,251.9,-15.485,-29.358,-2.854,-28.893,7.439,145.638,-0.596,-4.266,-156.425,-0.845,-21.743,-3.354,-3.299,flags_r10000_m15_prepare_pab1_raw_0001_0001,10000,15,relax_r10000_m15.sc,32.0
-235.526,36.27,0.0,-397.199,4.45,27.443,67.918,-135.635,-23.702,-22.795,9.378,15.407,44.342,250.726,-15.448,-29.19,-2.829,-29.082,7.453,146.921,-0.6,-4.33,-155.87,-0.875,-21.796,-3.183,-3.299,flags_r10000_m20_prepare_pab1_raw_0001_0001,10000,20,relax_r10000_m20.sc,50.0
-242.83,38.067,0.0,-404.772,5.447,26.544,70.104,-136.465,-22.845,-21.237,8.411,14.819,44.103,251.234,-16.051,-29.194,-2.829,-28.724,7.687,147.608,-0.681,-4.652,-157.606,-1.178,-22.464,-4.86,-3.299,flags_r10000_m25_prepare_pab1_raw_0001_0001,10000,25,relax_r10000_m25.sc,87.0
-244.923,37.695,0.0,-409.482,5.677,26.786,69.201,-136.877,-22.912,-21.392,8.362,14.887,44.218,255.353,-16.432,-29.3,-2.838,-28.617,7.659,149.751,-0.686,-4.674,-159.575,-1.416,-22.52,-4.491,-3.299,flags_r10000_m30_prepare_pab1_raw_0001_0001,10000,30,relax_r10000_m30.sc,81.0
-243.343,38.502,0.0,-406.549,5.837,26.644,68.913,-136.66,-22.985,-21.515,8.46,14.907,43.624,253.628,-16.377,-29.315,-2.821,-29.129,7.537,148.302,-0.68,-4.748,-158.588,-1.353,-22.145,-3.531,-3.299,flags_r10000_m35_prepare_pab1_raw_0001_0001,10000,35,relax_r10000_m35.sc,76.0
-243.484,39.005,0.0,-407.576,5.833,26.756,69.333,-137.26,-22.968,-21.545,8.609,14.905,43.59,253.649,-16.234,-29.347,-2.816,-29.131,7.673,148.225,-0.694,-4.833,-158.635,-1.355,-22.195,-3.177,-3.299,flags_r10000_m40_prepare_pab1_raw_0001_0001,10000,40,relax_r10000_m40.sc,81.0
-200.304,33.524,0.0,-396.448,3.422,27.553,68.701,-134.0,-23.812,-22.502,11.173,15.53,77.958,252.246,-15.457,-29.204,-2.854,-29.209,7.439,145.305,-0.568,-4.088,-156.015,-1.072,-21.571,-3.055,-3.299,flags_r10000_m5_prepare_pab1_raw_0001_0001,10000,5,relax_r10000_m5.sc,10.0
-244.249,37.755,0.0,-410.179,6.189,28.169,68.556,-136.977,-22.804,-21.795,8.213,14.82,43.823,257.305,-16.509,-29.46,-2.832,-28.355,7.677,148.961,-0.666,-4.601,-159.882,-1.606,-22.287,-4.463,-3.299,flags_r12_m10000_prepare_pab1_raw_0001_0001,12,10000,relax_r12_m10000.sc,77.0
-243.808,38.081,0.0,-408.798,5.844,28.053,69.08,-136.905,-22.933,-21.83,8.244,14.88,43.498,254.981,-16.454,-29.332,-2.831,-28.504,7.685,149.451,-0.666,-4.636,-159.285,-1.592,-22.182,-4.36,-3.299,flags_r15_m10000_prepare_pab1_raw_0001_0001,15,10000,relax_r15_m10000.sc,78.0
-244.232,37.845,0.0,-410.172,6.219,28.175,68.538,-136.951,-22.809,-21.8,8.207,14.819,43.725,257.285,-16.503,-29.456,-2.832,-28.336,7.678,148.981,-0.667,-4.608,-159.874,-1.594,-22.288,-4.514,-3.299,flags_r3_m10000_prepare_pab1_raw_0001_0001,3,10000,relax_r3_m10000.sc,76.0
-244.261,37.753,0.0,-410.226,6.185,28.171,68.561,-137.004,-22.797,-21.798,8.206,14.815,43.794,257.34,-16.493,-29.464,-2.833,-28.348,7.683,148.955,-0.664,-4.585,-159.904,-1.592,-22.272,-4.444,-3.299,flags_r6_m10000_prepare_pab1_raw_0001_0001,6,10000,relax_r6_m10000.sc,76.0
-244.239,37.726,0.0,-410.027,6.208,28.169,68.563,-136.925,-22.799,-21.801,8.215,14.818,43.671,257.261,-16.502,-29.48,-2.834,-28.334,7.678,148.915,-0.664,-4.585,-159.832,-1.61,-22.27,-4.5,-3.299,flags_r9_m10000_prepare_pab1_raw_0001_0001,9,10000,relax_r9_m10000.sc,79.0
